OrderID,Date,Product,Region,Price,Quantity,Revenue,Category
1039,1/1/2025,Keyboard,East,1500,1,1500,
1084,1/1/2025,Mouse,West,800,2,1600,
1142,1/1/2025,Mouse,East,800,2,1600,
1030,1/1/2025,Headphones,North,3000,3,9000,
1199,1/1/2025,Headphones,South,3000,4,12000,
1054,1/1/2025,Laptop,North,50000,3,150000,
1067,1/2/2025,Keyboard,North,1500,4,6000,
1017,1/2/2025,Headphones,West,3000,4,12000,
1115,1/3/2025,Mouse,West,800,2,1600,
1163,1/3/2025,Monitor,North,12000,1,12000,
1040,1/3/2025,Tablet,North,25000,1,25000,
1056,1/3/2025,Laptop,East,50000,2,100000,
1113,1/3/2025,Laptop,West,50000,2,100000,
1013,1/3/2025,Laptop,North,50000,3,150000,
1105,1/4/2025,Keyboard,East,1500,4,6000,
1197,1/5/2025,Mouse,North,800,1,800,
1191,1/5/2025,Mouse,East,800,3,2400,
1186,1/5/2025,Headphones,East,3000,4,12000,
1085,1/5/2025,Monitor,North,12000,4,48000,
1151,1/5/2025,Monitor,West,12000,4,48000,
1104,1/5/2025,Laptop,West,50000,1,50000,
1155,1/5/2025,Tablet,West,25000,2,50000,
1021,1/6/2025,Tablet,South,25000,2,50000,
1018,1/7/2025,Monitor,West,12000,1,12000,
1200,1/7/2025,Laptop,North,50000,1,50000,
1184,1/7/2025,Laptop,West,50000,2,100000,
1090,1/8/2025,Laptop,West,50000,2,100000,
1124,1/8/2025,Laptop,West,50000,2,100000,
1057,1/9/2025,Keyboard,South,1500,1,1500,
1042,1/9/2025,Keyboard,East,1500,3,4500,
1014,1/9/2025,Headphones,East,3000,2,6000,
1193,1/9/2025,Monitor,South,12000,2,24000,
1073,1/9/2025,Laptop,West,50000,3,150000,
1168,1/10/2025,Mouse,South,800,2,1600,
1171,1/11/2025,Headphones,North,3000,4,12000,
1052,1/11/2025,Tablet,West,25000,2,50000,
1072,1/11/2025,Tablet,East,25000,4,100000,
1147,1/12/2025,Keyboard,South,1500,4,6000,
1165,1/12/2025,Headphones,East,3000,2,6000,
1125,1/12/2025,Tablet,East,25000,3,75000,
1195,1/13/2025,Tablet,West,25000,2,50000,
1149,1/14/2025,Headphones,West,3000,1,3000,
1019,1/14/2025,Keyboard,North,1500,4,6000,
1096,1/14/2025,Laptop,North,50000,4,200000,
1130,1/15/2025,Tablet,South,25000,3,75000,
1082,1/16/2025,Monitor,South,12000,4,48000,
1074,1/16/2025,Tablet,North,25000,3,75000,
1118,1/17/2025,Mouse,West,800,1,800,
1098,1/17/2025,Keyboard,West,1500,1,1500,
1070,1/17/2025,Keyboard,East,1500,2,3000,
1194,1/17/2025,Monitor,North,12000,2,24000,
1106,1/17/2025,Laptop,West,50000,4,200000,
1027,1/18/2025,Headphones,East,3000,1,3000,
1087,1/19/2025,Keyboard,West,1500,4,6000,
1185,1/19/2025,Monitor,South,12000,3,36000,
1137,1/19/2025,Tablet,North,25000,4,100000,
1198,1/19/2025,Tablet,West,25000,4,100000,
1088,1/20/2025,Keyboard,West,1500,2,3000,
1077,1/20/2025,Keyboard,West,1500,3,4500,
1160,1/20/2025,Keyboard,West,1500,4,6000,
1002,1/21/2025,Headphones,East,3000,2,6000,
1112,1/21/2025,Headphones,West,3000,3,9000,
1007,1/21/2025,Monitor,North,12000,4,48000,
1005,1/22/2025,Keyboard,North,1500,2,3000,
